@relation ArquivoTreinamento1
@attribute 'Raiva' numeric
@attribute 'Desgosto' numeric
@attribute 'Medo' numeric
@attribute 'Alegria' numeric
@attribute 'Tristeza' numeric
@attribute 'Classe' {-1,1}
@data
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,2,0,1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,1,-1
0,0,0,0,0,-1
0,0,0,0,1,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,1,0,-1
0,0,0,0,0,-1
1,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,1
0,0,0,0,2,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,1,1
0,0,0,0,1,1
0,0,0,2,0,1
0,0,0,0,0,-1
0,0,0,0,1,-1
0,0,0,0,0,-1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,1,1
0,0,0,2,0,1
1,1,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,1,0,-1
0,0,0,1,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,1,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,1,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,1,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,1,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,1,0,-1
0,0,0,0,0,-1
0,0,0,1,0,-1
0,0,0,1,0,-1
0,0,1,0,0,-1
0,0,1,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,2,0,-1
0,0,1,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,1,0,1,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,2,0,0,-1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,1,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,1,0,1
0,0,0,0,1,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,1,-1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,1,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,-1
0,0,0,1,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,1,-1
0,0,2,0,0,-1
0,0,0,0,0,-1
0,0,0,0,1,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,2,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,1,0,1
0,0,1,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,1,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,2,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,1
0,0,0,0,2,1
0,0,0,2,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,1,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,0,0,-1
0,0,0,1,0,1
0,0,0,0,1,1
0,0,1,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,0,0,1
0,0,0,2,0,1
0,0,0,0,0,1
0,0,1,0,0,1
0,0,0,0,1,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1
0,0,0,0,0,-1

